role,experience_level,languages,tech_keywords,projects
,Beginner,"['C', 'C++', 'Makefile', 'Assembly', 'Python']","['rebooted', 'ChameleonMini']","['Chameleon Mini revE rebooted - Iceman Fork,  the ChameleonMini is a versatile contactless smartcard emulator (NFC/RFID)']"
,Beginner,"['JavaScript', 'HTML', 'CSS', 'PHP', 'ApacheConf']","['GWebCache', 'ScreenFuzz', 'XAudioJS', 'GameBoy', 'Image', 'Resizer', 'JS', 'IodineGBA', 'Beacon', 'Online']","['A multi-network gwebcache for peer-to-peer bootstrapping. Historically used for Gnutella and Gnutella2 clients.', 'JavaScript GameBoy Color emulator.', 'JavaScript GameBoy Advance emulator.', 'Placed in public domain.  A javascript based solution for image scaling outside of html5 canvas.', 'Quick Screen Burn Remedy. Place in fullscreen to utilize.', 'A PCM audio stream output library that provides cross-browser compatibility.']"
,Beginner,"['Python', 'Shell', 'C++', 'CMake', 'HTML']","['LoRDeckCodes', 'hengruo.github.io', 'RNet', 'RuneSim', 'smt4coq', 'pytorch', 'heliumsea.github.io', 'QANet']","['A PyTorch implementation of QANet.', 'R-Net with PyTorch', 'A simulator of Legends of Runeterra']"
"I am an Assistant Professor in the Department of Economics and the Computational Modeling and Data Analytics, College of Science, Virginia Tech",Beginner,"['Jupyter Notebook', 'Python', 'MATLAB']","['Statistical', 'for', 'Quantum', 'to', 'New', 'and', 'Dependence', 'Trends', 'Practice', 'Theory']","['This comprehensive, hands-on course provides a thorough exploration into the world of algorithmic trading, aimed at students, professionals, and enthusiasts with a basic understanding of Python programming and financial markets.', 'This course in applied data science covers the theoretical foundations of advanced quantitative approaches in machine learning, econometrics, risk and portfolio management, algorithmic trading, and financial forecasting. (first taught at Virginia Tech in 2019)', 'This intermediate applied econometrics course covers the theoretical, computational, and statistical underpinnings of the big data analysis. (first taught at Virginia Tech in 2018)', 'This repository contains code, models, and tools for simulating and estimating portfolios based on constant and time-varying covariance matrices. ', 'This course will introduce the student to classic machine learning algorithms and deep neural network structures. The style will be first to describe the theory and math behind algorithms and then demonstrate how to use Python to create and run the models. ', 'A Nonlinearity Test for Principal Component Analysis: MATLAB Code', 'In this project, we delve into the principal constructs of quantum computing and quantum machine learning. Our primary focus resides in identifying and elucidating quantum computing solutions for the domain of econometric modeling, with particular emphasis on big data econometrics and nonlinear models.', '""The History and New Trends of Measuring Dependence: From Bayes, Galton, and Pearson to the 21st Century"" is a research undertaking led by Ali Habibnia as the principal investigator, with the assistance of Jonathan Gendron and Sanjana Rayani, who serve as research assistants from the Department of Economics at Virginia Tech. ']"
,Beginner,"['Java', 'Shell', 'Python', 'HTML', 'JavaScript']","['tensorflow', 'mesos', 'flink', 'thrift', 'doomtrooper', 'community', 'spark', 'incubator', 'zeppelin', 'alluxio']","['Memory-Centric Virtual Distributed Storage System', 'Stores documents used by the TensorFlow developer community', 'Scraper and data for Czech Doomtrooper', 'Mirror of Apache Flink', 'Mirror of Apache Zeppelin (Incubating)', 'Mirror of Apache Mesos', 'Mirror of Apache Spark', 'Computation using data flow graphs for scalable machine learning', 'Mirror of Apache Thrift']"
,Intermediate,"['Ruby', 'Shell', 'HTML', 'C', 'JavaScript']","['colors', 'exercises', 'atom_feed_helper', 'vim', 'xelm', 'solarized', 'placeholder', 'mutt', 'terminaltips', 'for']","['AtomFeedHelper plugin', ""Solutions for Brian Hogan's book, Exercises for Programmers"", 'Hanami website', 'Wee temporary Rack application for use as a placeholder on Heroku', 'mutt mail client color schemes', 'precision color scheme for multiple applications (terminal, vim, etc.) with both dark/light modes', ""kludge to render a csv file for abook from google contacts' vcard export"", 'precision colorscheme for the vim text editor']"
,Intermediate,"['C#', 'Dockerfile', 'Shell', 'JavaScript', 'HTML']","['stackchain', 'configurator', 'with', 'DOTNET', 'Building', 'BTCPayServer.Vault', 'docker', 'Web', 'Core', 'media']","['A cross platform, self-hosted server compatible with Bitpay API ', 'An easy UI to configure  new and existing BTCPay deployments.', 'Documentation of BTCPayServer', 'Docker resources for hosting BTCPayServer easily', 'Media asset for BTCPayServer', 'Sign with software or hardware wallets', 'A self-hosted ,modular IFTTT-inspired system for bitcoin services written in C#', 'Building RESTful Web Services with DOTNET Core, published by Packt', 'NBitcoin Explorer', 'Open-organization, meetings, calendars, project management', ""Stackchain is a chain of individual users purchasing bitcoin in USD, increasing by 1 USD for each individual's purchase.""]"
yawn,Intermediate,"['Python', 'Shell', 'C', 'Makefile', 'C++']","['strings', 'clamav', 'moflow', 'scripts', 'avclass', 'faq', 'smart', 'maltindex', 'community', 'ksfinder']","['AVClass malware labeling tool', 'ClamAV FAQ', 'Volatility plugins developed and maintained by the community ', 'ksfinder - Retrieve exported kernel symbols from physical memory dumps', 'Mal Tindex is an Open Source tool for indexing binaries and help attributing malware campaigns', 'Release Branches for MoFlow', 'Random scripts', ""An implementation of the unix 'strings' utility in python that has some more advanced features"", 'Unicorn CPU emulator engine', 'Binary analysis and management framework']"
,Intermediate,"['Java', 'TypeScript', 'JavaScript', 'HTML', 'Vue']","['starter', 'deprecated', 'shiro', 'vue', 'redis', 'mychecker', 'echo', 'client', 'spring', 'jdbctemplatetool']","['Highlight the apollo graphql deprecated fields', 'This is the client of apollo-deprecated-highlight', 'This is a demo for apollo-deprecated-highlight-client', ""It's a demo for apollo-deprecated-highlight"", 'For apollo3', 'Add some helpful methods to Spring JdbcTemplate', 'demo repo for https://blog.csdn.net/nsrainbow/article/details/80589476', 'Mock laravel Echo', 'shiro only provide the support of ehcache and concurrentHashMap. Here is an implement of redis cache can be used by shiro. Hope it will help you!', 'initial commit', 'In this tutorial, you see how to configure shiro-redis in spring framework', 'a shiro-redis tutorial']"
,Intermediate,"['JavaScript', 'Shell', 'TypeScript', 'Java', 'CSS']","['starter', 'typescript', 'polymer', 'appveyor', 'apktool', 'swatch', 'kit', 'vite', 'lib', 'logback']","['The default community health files for all my repos on GitHub', 'A library for decoding XML resources (such as the Android manifest) from an APK', 'Userscripts to add functionality to AppVeyor', 'Puppeteer script to update Polymer Codepens', 'Userscripts to add functionality to GitHub', '📄The reliable, generic, fast and flexible logging framework for Android', 'Example applications for logback appenders', 'Named capture groups for Java 5/6 regular expressions', 'Typescript starter with Nuxt.js', 'Polymer Starter Kit w/TypeScript support', 'Easy Express route setup with maps', 'Generate a color palette swatch from a color string', 'Template for Vite.js docs translation repositories']"
